source,target,type,evidence,source_type,score,id
AR,breast cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Melatonin enhances everolimus efficacy in breast cancer by suppressing mTOR pathway activation and promoting apoptosis and mitochondrial function.. Everolimus is used in the treatment of breast cancer...,cooccurrence,0.7,e0
ER,breast cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Melatonin enhances everolimus efficacy in breast cancer by suppressing mTOR pathway activation and promoting apoptosis and mitochondrial function.. Everolimus is used in the treatment of breast cancer...,cooccurrence,0.7,e1
MET,breast cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Melatonin enhances everolimus efficacy in breast cancer by suppressing mTOR pathway activation and promoting apoptosis and mitochondrial function.. Everolimus is used in the treatment of breast cancer...,cooccurrence,0.7,e2
PR,breast cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Melatonin enhances everolimus efficacy in breast cancer by suppressing mTOR pathway activation and promoting apoptosis and mitochondrial function.. Everolimus is used in the treatment of breast cancer...,cooccurrence,0.7,e3
AR,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e4
EGFR,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e5
ER,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e6
MET,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e7
PR,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e8
RET,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Protein tyrosine phosphatase receptor type kappa (PTPRK) revisited: evolving insights into structure, function, and pathology.. Protein Tyrosine Phosphatase Receptor Type Kappa (PTPRK) is a membrane-b...",cooccurrence,0.7,e9
AR,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Unlocking the potential of immune checkpoint inhibitors in advanced cervical cancer: a meta-analysis and systematic review.. This meta-analysis systematically evaluated the effectiveness and safety of...,cooccurrence,0.7,e10
ER,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Unlocking the potential of immune checkpoint inhibitors in advanced cervical cancer: a meta-analysis and systematic review.. This meta-analysis systematically evaluated the effectiveness and safety of...,cooccurrence,0.7,e11
MET,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Unlocking the potential of immune checkpoint inhibitors in advanced cervical cancer: a meta-analysis and systematic review.. This meta-analysis systematically evaluated the effectiveness and safety of...,cooccurrence,0.7,e12
PR,cervical cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Unlocking the potential of immune checkpoint inhibitors in advanced cervical cancer: a meta-analysis and systematic review.. This meta-analysis systematically evaluated the effectiveness and safety of...,cooccurrence,0.7,e13
cisplatin,MET,drug_gene_cooccurrence,"Co-occurrence in text: Characteristics, management and survival outcomes in patients with muscle-invasive bladder cancer at high risk of recurrence in France: a subgroup analysis from the coblance cohort.. To describe chara...",cooccurrence,0.6,e14
AR,bladder cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Characteristics, management and survival outcomes in patients with muscle-invasive bladder cancer at high risk of recurrence in France: a subgroup analysis from the coblance cohort.. To describe chara...",cooccurrence,0.7,e15
ER,bladder cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Characteristics, management and survival outcomes in patients with muscle-invasive bladder cancer at high risk of recurrence in France: a subgroup analysis from the coblance cohort.. To describe chara...",cooccurrence,0.7,e16
MET,bladder cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Characteristics, management and survival outcomes in patients with muscle-invasive bladder cancer at high risk of recurrence in France: a subgroup analysis from the coblance cohort.. To describe chara...",cooccurrence,0.7,e17
PR,bladder cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Characteristics, management and survival outcomes in patients with muscle-invasive bladder cancer at high risk of recurrence in France: a subgroup analysis from the coblance cohort.. To describe chara...",cooccurrence,0.7,e18
AR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e19
AR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e20
ER,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e21
ER,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e22
PD-L1,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e23
