source,target,type,evidence,source_type,score,id
pembrolizumab,MET,drug_gene_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.6,e0
AR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e1
AR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e2
ER,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e3
ER,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e4
MET,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e5
MET,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e6
PD-L1,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e7
PD-L1,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e8
PR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e9
PR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab Plus Chemotherapy Per PD-L1 Stratum In Patients With Metastatic Non-Small Cell Lung Cancer: Real-World Effectiveness Versus Trial Efficacy.. Clinical trial efficacy and real-world effect...,cooccurrence,0.7,e10
pembrolizumab,ALK,drug_gene_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.6,e11
pembrolizumab,EGFR,drug_gene_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.6,e12
ALK,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.7,e13
ALK,non-small cell lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.7,e14
EGFR,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.7,e15
EGFR,non-small cell lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, random...",cooccurrence,0.7,e16
RET,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Clinical significance of antinuclear antibody as prognostic marker for first-line pembrolizumab in advanced non-small cell lung cancer.. The relationship between antinuclear antibody (ANA) and the eff...,cooccurrence,0.7,e17
RET,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Clinical significance of antinuclear antibody as prognostic marker for first-line pembrolizumab in advanced non-small cell lung cancer.. The relationship between antinuclear antibody (ANA) and the eff...,cooccurrence,0.7,e18
nivolumab,MET,drug_gene_cooccurrence,Co-occurrence in text: Comparison of the Efficacy and Safety of Perioperative Immunochemotherapeutic Strategies for Resectable Non-small Cell Lung Cancer: a Systematic Review and Network Meta-analysis.. The aim of this netw...,cooccurrence,0.6,e19
nivolumab,pembrolizumab,drug_drug_cooccurrence,"Co-occurrence in text: Soluble PD-L1 changes in advanced non-small cell lung cancer patients treated with PD-1 inhibitors: an individual patient data meta-analysis.. Currently, first-line immune checkpoint inhibitors (ICIs)...",cooccurrence,0.5,e20
pembrolizumab,HER2,drug_gene_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.6,e21
AR,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e22
ER,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e23
HER2,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e24
